label,class
inner courtyard view,InnerCourtyardView
landmark view,LandmarkView
socket near the bed,SocketNearTheBed
drying rack for clothing,DryingRackForClothing
electric blankets,ElectricBlankets
clothes rack,ClothesRack
clothing storage,ClothingStorage
closet,Closet
dresser and closet,Closet
walk-in closet,Walk-InCloset
closet and dresser,ClosetAndDresser
oil,Oil
children’s dinnerware,Children’SDinnerware
ev charger,EvCharger
salt and pepper,SaltAndPepper
table corner guards,TableCornerGuards
outlet covers,OutletCovers
bread maker,BreadMaker
blender,Blender
crib,Crib
pack ’n play/travel crib,Crib
baby monitor,BabyMonitor
window guards,WindowGuards
stove,Stove
electric stove,ElectricStove
stainless steel electric stove,ElectricStove
gas stove,GasStove
single induction hob induction stove,SingleInductionHobInductionStove
sound system,SoundSystem
changing table,ChangingTable
rice maker,RiceMaker
trash compactor,TrashCompactor
dedicated workspace,DedicatedWorkspace
fireplace guards,FireplaceGuards
ethernet connection,EthernetConnection
room-darkening shades,Room-DarkeningShades
wine glasses,WineGlasses
hangers,Hangers
amenity area,AmenityArea
common area,CommonArea
restaurant,Restaurant
restaurant pizzeria,Restaurant
casino,Casino
dayspa,DaySpa
day spa,DaySpa
spa center,DaySpa
spa and wellness centre,DaySpa
spa facilities,DaySpa
spa lounge/relaxation area,SpaLoungeRelaxationArea
beautysalon,BeautySalon
beauty salon,BeautySalon
barber/beauty shop,BeautySalon
hair/beauty salon,BeautySalon
library,Library
golfcourse,GolfCourse
golf course,GolfCourse
golf courses,GolfCourse
public toilet,PublicToilet
public bath,PublicToilet
playground,Playground
indoor play area,Playground
children's playground,Playground
parkingfacility,ParkingFacility
parking facility,ParkingFacility
parking,ParkingFacility
parking space,ParkingFacility
parking place,ParkingFacility
car park,ParkingFacility
free parking on premises,ParkingFacility
paid parking on premises,ParkingFacility
paid parking garage off premises,ParkingFacility
paid street parking off premises,ParkingFacility
parking garage,ParkingGarage
secured parking,SecuredParking
secure parking,SecuredParking
street parking,StreetParking
free street parking,StreetParking
accessible parking,AccessibleParking
paid parking off premises,PaidParkingOffPremises
hot tub,HotTub
jacuzzi,HotTub
hydromassage jacuzzi,HotTub
gym,Gym
gym in building,Gym
turkish bath,TurkishBath
hammam,TurkishBath
turkish/steam bath,TurkishBath
wellnesscentre,Sauna
sauna,Sauna
wi-fi zone,Wi-FiZone
wifi,Wi-FiZone
paid wifi,Wi-FiZone
wireless internet,Wi-FiZone
wifi - available throughout the listing,Wi-FiZone
wifi – 1000 mbps - available throughout the listing,Wi-FiZone
pocket wifi,Wi-FiZone
stair,Stair
disco,Disco
square,Square
tennis square,TennisSquare
tennis court,TennisSquare
soccer square,SoccerSquare
mini golf,MiniGolf
squash,Squash
racquetball,Racquetball
conference room,ConferenceRoom
smoking area,SmokingArea
reading lounge,ReadingLounge
laundry,Laundry
hall,Hallway
hallway,Hallway
ballroom,Ballroom
luggage room,LuggageRoom
luggage storage,LuggageRoom
baggage storage,LuggageRoom
luggage dropoff allowed - for guests' convenience when they have early arrival or late departure,LuggageRoom
tobacco shop,TobaccoShop
game room,GameRoom
games room,GameRoom
garden,Garden
pool bar,PoolBar
fitness center,FitnessCenter
business center,BusinessCenter
chapel shrine,ChapelShrine
on-site coffee house,On-SiteCoffeeHouse
snack bar,SnackBar
executive lounge access,ExecutiveLoungeAccess
gift shop,GiftShop
designated smoking area,DesignatedSmokingArea
vip room facilities,VipRoomFacilities
sitting area,SittingArea
seating area,SittingArea
swimming pool,SwimmingPool
pool,SwimmingPool
private pool,PrivatePool
veranda,Veranda
barbecue,Barbecue
bbq facilities,Barbecue
bbq grill,Barbecue
dining area,DiningArea
living area,LivingArea
shared lounge/tv area,LivingArea
locker rooms,LockerRooms
fitness/spa locker rooms,LockerRooms
vending machine (snacks),VendingMachineSnacks
vending machine (drinks),VendingMachineDrinks
lift,Lift
elevator,Lift
private entrance,PrivateEntrance
private entrance - separate street or building entrance,PrivateEntrance
outdoor fireplace,OutdoorFireplace
picnic area,PicnicArea
outdoor dining area,OutdoorDiningArea
electric vehicle charging station,ElectricVehicleChargingStation
lockers,Lockers
meeting/banquet facilities,MeetingBanquetFacilities
atm on site,AtmOnSite
atm/cash machine on site,AtmOnSite
internet facilities,InternetFacilities
open-air bath,Open-AirBath
solarium,Solarium
lake access,LakeAccess
guests can get to a lake using a path or dock,LakeAccess
outdoor shower,OutdoorShower
backyard,Backyard
an open space on the property usually covered in grass,Backyard
equipment,Equipment
game,GameEquipment
karaoke,Karaoke
badminton equipment,BadmintonEquipment
tennis equipment,TennisEquipment
table tennis,TableTennis
darts,Darts
billiards,Billiards
pool table,Billiards
board games/puzzles,BoardGamesPuzzles
board games,BoardGamesPuzzles
sun loungers or beach chairs,SunLoungersOrBeachChairs
sun lounger,SunLounger
bikes available (free),BikesAvailableFree
fax,Fax
kids' outdoor play equipment,KidsOutdoorPlayEquipment
strollers,Strollers
pet basket,PetBasket
mosquito net,MosquitoNet
pet bowls,PetBowls
children's high chair,ChildrenSHighChair
outdoor furniture,OutdoorFurniture
sun umbrellas,SunUmbrellas
pool/beach towels,PoolBeachTowels
piano,Piano
barbecue utensils,BarbecueUtensils
