term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
coda,NOUN,cavallo,NOUN,30,,X,coda cavallo,,,,,no,,,,
beach,NOUN,house,NOUN,30,X,,beach house,,House,no,label,yes,,,,
bed,NOUN,living,NOUN,30,,,bed living,,,,,no,,,,
room,NOUN,bed,NOUN,30,,,room bed,,,,,no,,,,
barbecue,NOUN,area,NOUN,29,X,,barbecue area,,,,,no,,,,
supermarket,NOUN,restaurant,NOUN,29,,,supermarket restaurant,,,,,no,,,,
bianca,NOUN,port,NOUN,29,,,bianca port,,,,,no,,,,
car,NOUN,parking,NOUN,29,X,,car parking,,,,,no,,,,
garden,NOUN,barbecue,NOUN,29,X,,garden barbecue,,,,,no,,,,
minute,NOUN,beach,NOUN,28,,,minute beach,,,,,no,,,,
beach,NOUN,apartment,NOUN,28,X,,beach apartment,,,,,no,,,,
north,NOUN,sardinia,NOUN,28,,X,north sardinia,,,,,no,,,,
town,NOUN,center,NOUN,28,X,,town center,,,,,no,,,,
access,NOUN,beach,NOUN,28,,,access beach,,,,,no,,,,
pine,NOUN,forest,NOUN,28,X,,pine forest,,,,,no,,,,
olive,NOUN,tree,NOUN,28,X,,olive tree,,,,,no,,,,
country,NOUN,house,NOUN,28,X,,country house,,,,,no,,,,
house,NOUN,garden,NOUN,28,,,house garden,,,,,no,,,,
water,NOUN,electricity,NOUN,28,,,water electricity,,,,,no,,,,
grocery,NOUN,store,NOUN,27,X,,grocery store,,,,,no,,,,
beach,NOUN,meter,NOUN,26,,,beach meter,,,,,no,,,,
km,NOUN,beach,NOUN,26,,,km beach,,,,,no,,,,
km,NOUN,sea,NOUN,26,,,km sea,,,,,no,,,,
beach,NOUN,villa,NOUN,26,,,beach villa,,,,,no,,,,
golf,NOUN,club,NOUN,26,X,,golf club,,,,,no,,,,
toilet,NOUN,bidet,NOUN,26,,,toilet bidet,,,,,no,,,,
sea,NOUN,mountain,NOUN,26,,,sea mountain,,,,,no,,,,
supermarket,NOUN,bar,NOUN,26,,,supermarket bar,,,,,no,,,,
bathroom,NOUN,terrace,NOUN,26,,,bathroom terrace,,,,,no,,,,
sand,NOUN,dune,NOUN,26,,,sand dune,,,,,no,,,,
beach,NOUN,restaurant,NOUN,25,,,beach restaurant,,,,,no,,,,
phone,NOUN,number,NOUN,25,,,phone number,,,,,no,,,,
bedroom,NOUN,king,NOUN,25,,,bedroom king,,,,,no,,,,
family,NOUN,couple,NOUN,25,,,family couple,,,,,no,,,,
bathroom,NOUN,air,NOUN,25,,,bathroom air,,,,,no,,,,
center,NOUN,minute,NOUN,25,,,center minute,,,,,no,,,,
machine,NOUN,dishwasher,NOUN,25,,,machine dishwasher,,,,,no,,,,
min,NOUN,car,NOUN,25,,,min car,,,,,no,,,,
garden,NOUN,terrace,NOUN,25,X,,garden terrace,,,,,no,,,,
bedroom,NOUN,kitchen,NOUN,25,,,bedroom kitchen,,,,,no,,,,
friend,NOUN,family,NOUN,25,,,friend family,,,,,no,,,,
airport,NOUN,minute,NOUN,25,,,airport minute,,,,,no,,,,
cala,NOUN,gonone,NOUN,24,,X,cala gonone,,,,,no,,,,
starting,NOUN,point,NOUN,24,,,starting point,,,,,no,,,,
bathroom,NOUN,bedroom,NOUN,24,,,bathroom bedroom,,,,,no,,,,
cleaning,NOUN,fee,NOUN,24,X,,cleaning fee,,,,,no,,,,
dishwasher,NOUN,washing,NOUN,24,,,dishwasher washing,,,,,no,,,,
ideal,NOUN,family,NOUN,24,,,ideal family,,,,,no,,,,
bathroom,NOUN,toilet,NOUN,24,,,bathroom toilet,,,,,no,,,,
house,NOUN,apartment,NOUN,24,,,house apartment,,,,,no,,,,
garden,NOUN,bbq,NOUN,24,X,,garden bbq,,,,,no,,,,
vista,NOUN,mare,NOUN,24,,,vista mare,,,,,no,,,,
beach,NOUN,sea,NOUN,23,,,beach sea,,,,,no,,,,
house,NOUN,sea,NOUN,23,,,house sea,,,,,no,,,,
apartment,NOUN,floor,NOUN,23,X,,apartment floor,,,,,no,,,,
dal,NOUN,mare,NOUN,23,,,dal mare,,,,,no,,,,
sheet,NOUN,towel,NOUN,23,,,sheet towel,,,,,no,,,,
beach,NOUN,area,NOUN,23,,,beach area,,,,,no,,,,
apartment,NOUN,ground,NOUN,23,,,apartment ground,,,,,no,,,,
terrace,NOUN,table,NOUN,23,,,terrace table,,,,,no,,,,
tourist,NOUN,tax,NOUN,23,X,,tourist tax,,,,,no,,,,
golfo,NOUN,aranci,NOUN,23,,X,golfo aranci,,,,,no,,,,
family,NOUN,group,NOUN,22,,,family group,,,,,no,,,,
house,NOUN,bedroom,NOUN,22,,,house bedroom,,,,,no,,,,
living,NOUN,dining,NOUN,22,,,living dining,,,,,no,,,,
lunch,NOUN,dinner,NOUN,22,,,lunch dinner,,,,,no,,,,
tv,NOUN,air,NOUN,22,,,tv air,,,,,no,,,,
sardinia,NOUN,house,NOUN,22,,,sardinia house,,,,,no,,,,
hair,NOUN,dryer,NOUN,22,X,,hair dryer,,,,,no,,,,
kitchen,NOUN,dishwasher,NOUN,22,,,kitchen dishwasher,,,,,no,,,,
al,PROPN,fresco,NOUN,22,,,al fresco,,,,,no,,,,
garden,NOUN,parking,NOUN,22,,,garden parking,,,,,no,,,,
space,NOUN,person,NOUN,22,,,space person,,,,,no,,,,
bar,NOUN,café,NOUN,22,,,bar café,,,,,no,,,,
bedlinen,NOUN,payment,NOUN,22,,,bedlinen payment,,,,,no,,,,
family,NOUN,house,NOUN,22,,,family house,,,,,no,,,,
province,NOUN,oristano,NOUN,22,,X,province oristano,,,,,no,,,,
kitchenette,NOUN,bathroom,NOUN,22,,,kitchenette bathroom,,,,,no,,,,
electricity,NOUN,gas,NOUN,22,,,electricity gas,,,,,no,,,,
guest,NOUN,house,NOUN,22,X,,guest house,,,,,no,,,,
bedroom,NOUN,villa,NOUN,21,,,bedroom villa,,,,,no,,,,
bbq,NOUN,area,NOUN,21,X,,bbq area,,,,,no,,,,
access,NOUN,sea,NOUN,21,,,access sea,,,,,no,,,,
area,NOUN,bathroom,NOUN,21,,,area bathroom,,,,,no,,,,
garden,NOUN,house,NOUN,21,X,,garden house,,,,,no,,,,
walking,NOUN,distance,NOUN,21,,,walking distance,,,,,no,,,,
day,NOUN,beach,NOUN,21,,,day beach,,,,,no,,,,
terrace,NOUN,garden,NOUN,21,X,,terrace garden,,,,,no,,,,
business,NOUN,traveler,NOUN,21,X,,business traveler,,,,,no,,,,
sea,NOUN,meter,NOUN,21,,,sea meter,,,,,no,,,,
cala,NOUN,brandinchi,NOUN,21,,X,cala brandinchi,,,,,no,,,,
minute,NOUN,drive,NOUN,21,,,minute drive,,,,,no,,,,
ironing,NOUN,board,NOUN,21,X,,ironing board,,,,,no,,,,
towel,NOUN,payment,NOUN,21,,,towel payment,,,,,no,,,,
area,NOUN,house,NOUN,21,,,area house,,,,,no,,,,
coffee,NOUN,machine,NOUN,21,X,,coffee machine,,,,,no,,,,
sea,NOUN,house,NOUN,21,,,sea house,,,,,no,,,,
room,NOUN,fireplace,NOUN,21,,,room fireplace,,,,,no,,,,
bed,NOUN,kitchenette,NOUN,20,,,bed kitchenette,,,,,no,,,,
torre,NOUN,delle,NOUN,20,,,torre delle,,,,,no,,,,
bed,NOUN,sofa,NOUN,20,,,bed sofa,,,,,no,,,,
shower,NOUN,bidet,NOUN,20,,,shower bidet,,,,,no,,,,
area,NOUN,bedroom,NOUN,20,,,area bedroom,,,,,no,,,,
patio,NOUN,garden,NOUN,20,,,patio garden,,,,,no,,,,
island,NOUN,tavolara,NOUN,20,,X,island tavolara,,,,,no,,,,
iron,NOUN,ironing,NOUN,20,,,iron ironing,,,,,no,,,,
parking,NOUN,area,NOUN,20,X,,parking area,,,,,no,,,,
train,NOUN,station,NOUN,20,X,,train station,,,,,no,,,,
putzu,NOUN,idu,NOUN,20,,X,putzu idu,,,,,no,,,,
sea,NOUN,beach,NOUN,20,,,sea beach,,,,,no,,,,
person,NOUN,week,NOUN,20,,,person week,,,,,no,,,,
costa,NOUN,paradiso,NOUN,20,,X,costa paradiso,,,,,no,,,,
meter,NOUN,house,NOUN,19,,,meter house,,,,,no,,,,
beach,NOUN,cala,NOUN,19,,,beach cala,,,,,no,,,,
restaurant,NOUN,supermarket,NOUN,19,,,restaurant supermarket,,,,,no,,,,
kitchen,NOUN,area,NOUN,19,X,,kitchen area,,,,,no,,,,
seating,NOUN,area,NOUN,19,,,seating area,,,,,no,,,,
villa,NOUN,sea,NOUN,19,,,villa sea,,,,,no,,,,
room,NOUN,air,NOUN,19,,,room air,,,,,no,,,,
house,NOUN,minute,NOUN,19,,,house minute,,,,,no,,,,
nd,NOUN,floor,NOUN,19,,,nd floor,,,,,no,,,,
villa,NOUN,garden,NOUN,19,,,villa garden,,,,,no,,,,
living,NOUN,space,NOUN,19,,,living space,,,,,no,,,,
property,NOUN,bed,NOUN,19,,,property bed,,,,,no,,,,
cagliari,PROPN,airport,NOUN,19,,X,cagliari airport,,,,,no,,,,
person,NOUN,day,NOUN,19,,,person day,,,,,no,,,,
air,NOUN,con,NOUN,18,X,,air con,,,,,no,,,,
capo,NOUN,coda,NOUN,18,,,capo coda,,,,,no,,,,
apartment,NOUN,villa,NOUN,18,,,apartment villa,,,,,no,,,,
conditioning,NOUN,heating,NOUN,18,,,conditioning heating,,,,,no,,,,
ideal,NOUN,couple,NOUN,18,,,ideal couple,,,,,no,,,,
view,NOUN,bay,NOUN,18,,,view bay,,,,,no,,,,
walk,NOUN,beach,NOUN,18,,,walk beach,,,,,no,,,,
golf,NOUN,course,NOUN,18,X,,golf course,,,,,no,,,,
km,NOUN,cagliari,PROPN,18,X,,km cagliari,,,,,no,,,,
bathroom,NOUN,room,NOUN,18,,,bathroom room,,,,,no,,,,
beach,NOUN,bar,NOUN,18,,,beach bar,,,,,no,,,,
sea,NOUN,villa,NOUN,18,,,sea villa,,,,,no,,,,
distance,NOUN,beach,NOUN,18,,,distance beach,,,,,no,,,,
st,PROPN,floor,NOUN,18,,,st floor,,,,,no,,,,
sea,NOUN,km,NOUN,18,,,sea km,,,,,no,,,,
adventurer,NOUN,business,NOUN,18,,,adventurer business,,,,,no,,,,
kitchen,NOUN,terrace,NOUN,18,,,kitchen terrace,,,,,no,,,,
town,NOUN,alghero,NOUN,18,,X,town alghero,,,,,no,,,,
charge,NOUN,guest,NOUN,18,,,charge guest,,,,,no,,,,
pm,NOUN,case,NOUN,18,,,pm case,,,,,no,,,,
case,NOUN,guest,NOUN,18,,,case guest,,,,,no,,,,
guest,NOUN,dog,NOUN,18,,,guest dog,,,,,no,,,,
queen,NOUN,size,NOUN,18,X,,queen size,,,,,no,,,,
number,NOUN,bedroom,NOUN,18,,,number bedroom,,,,,no,,,,
bedroom,NOUN,number,NOUN,18,,,bedroom number,,,,,no,,,,
number,NOUN,room,NOUN,18,,,number room,,,,,no,,,,
